Year,Crop,CropYear,Cover,Trt,CC,DPP,CC.win,Timing,Split,Herb,Plot,Obs_ID,Block,YieldData,YieldBuac,Rye.kgha,WeedUnit,UTC.tot.density.rep,UTC.tot.density.siteyear,AMACH_density,CHEAL_density,ERICA_density,BL_density,GRASS_density,SEDGE_density,Total_density,AMACH_biomass(g),CHEAL_biomass(g),ERICA_biomass(g),BL_biomass(g),GRASS_biomass(g),SEDGE_biomass(g),NoCov_Bl,NoCov_grass,NoCov_ERICA,brown.tot.density,brown.bl.density
2021,Corn,Corn21,Cereal Rye ,3-7 DPPPRE/POST,3-7 DPP,-7,14,3-7 d pre-plant,Weed free,PRE/POST,301,obs58,B3,yes,128,3488,2sqm,53,48,na,na,na,0,0,0,0,na,na,na,0,0,0,0,0,na,0,0
2021,Corn,Corn21,Cereal Rye ,14-21 DPPPOST,14-21 DPP,-21,0,14-28 d pre-plant,Weedy,POST,302,obs59,B3,no,na,1673,2sqm,53,48,na,na,na,50,4,0,54,na,na,na,1.21,0.06,0,52,1,na,54,50
2021,Corn,Corn21,Cereal Rye,14-21 DPPPRE/POST,14-21 DPP,-21,0,14-28 d pre-plant,Weed free,PRE/POST,302,obs60,B3,yes,135.6,1673,2sqm,53,48,na,na,na,0,0,0,0,na,na,na,0,0,0,0,0,na,0,0
2021,Corn,Corn21,Cereal Rye,1-3 DAPPOST,1-3 DAP,0,21,Roll plant,Weedy,POST,303,obs61,B3,no,na,4966,2sqm,53,48,na,na,na,4,2,0,6,na,na,na,0.03,0.21,0,52,1,na,54,50
2021,Corn,Corn21,Cereal Rye,1-3 DAPPRE/POST,1-3 DAP,0,21,Roll plant,Weed free,PRE/POST,303,obs62,B3,yes,105.8,4966,2sqm,53,48,na,na,na,0,0,0,0,na,na,na,0,0,0,0,0,na,0,0
2021,Corn,Corn21,Cereal Rye,CTLPOST,CTL,CTL,na,na,Weedy,POST,304,obs63,B3,no,na,0,2sqm,53,48,na,na,na,52,1,0,53,na,na,na,15.31,0.47,0,52,1,na,54,50
2021,Corn,Corn21,Cereal Rye,CTLPRE/POST,CTL,CTL,na,na,Weed free,PRE/POST,304,obs64,B3,yes,140.8,0,2sqm,53,48,na,na,na,0,0,0,0,na,na,na,0,0,0,0,0,na,0,0
2021,Corn,Corn21,Cereal Rye ,CTLPOST,CTL,CTL,na,na,Weedy,POST,401,obs65,B4,no,na,0,2sqm,33,48,na,na,na,29,4,0,33,na,na,na,3.63,0.5,0,29,4,na,34,27
2021,Corn,Corn21,Cereal Rye,CTLPRE/POST,CTL,CTL,na,na,Weed free,PRE/POST,401,obs66,B4,yes,130.2,0,2sqm,33,48,na,na,na,0,0,0,0,na,na,na,0,0,0,0,0,na,2,2
2021,Corn,Corn21,Cereal Rye,1-3 DAPPOST,1-3 DAP,0,21,Roll plant,Weedy,POST,402,obs67,B4,no,na,5313,2sqm,33,48,na,na,na,6,0,0,6,na,na,na,0.12,0,0,29,4,na,34,27
2021,Corn,Corn21,Cereal Rye,1-3 DAPPRE/POST,1-3 DAP,0,21,Roll plant,Weed free,PRE/POST,402,obs68,B4,yes,138.6,5313,2sqm,33,48,na,na,na,0,0,0,0,na,na,na,0,0,0,0,0,na,2,2
2021,Corn,Corn21,Cereal Rye,14-21 DPPPOST,14-21 DPP,-21,0,14-28 d pre-plant,Weedy,POST,403,obs69,B4,no,na,1699,2sqm,33,48,na,na,na,27,2,5,34,na,na,na,0.89,0.03,0.96,29,4,na,34,27
2021,Corn,Corn21,Cereal Rye,14-21 DPPPRE/POST,14-21 DPP,-21,0,14-28 d pre-plant,Weed free,PRE/POST,403,obs70,B4,yes,153.9,1699,2sqm,33,48,na,na,na,2,0,0,2,na,na,na,0,0,0,0,0,na,2,2
2021,Corn,Corn21,Cereal Rye,3-7 DPPPOST,3-7 DPP,-7,14,3-7 d pre-plant,Weedy,POST,404,obs71,B4,no,na,2536,2sqm,33,48,na,na,na,15,8,0,23,na,na,na,0.26,0.31,0,29,4,na,34,27
2021,Corn,Corn21,Cereal Rye ,3-7 DPPPRE/POST,3-7 DPP,-7,14,3-7 d pre-plant,Weed free,PRE/POST,404,obs72,B4,yes,153.1,2536,2sqm,33,48,na,na,na,0,0,0,0,na,na,na,0,0,0,0,0,na,2,2
2021,Corn,Corn21,Cereal Rye,14-21 DPPPOST,14-21 DPP,-21,0,14-28 d pre-plant,Weedy,POST,501,obs73,B5,no,na,2456,2sqm,62,48,na,na,na,2,0,0,2,na,na,na,0.18,0,0,62,0,na,2,2
2021,Corn,Corn21,Cereal Rye,14-21 DPPPRE/POST,14-21 DPP,-21,0,14-28 d pre-plant,Weed free,PRE/POST,501,obs74,B5,yes,151.4,2456,2sqm,62,48,na,na,na,1,0,0,1,na,na,na,0,0,0,0,1,na,1,1
2021,Corn,Corn21,Cereal Rye ,1-3 DAPPOST,1-3 DAP,0,21,Roll plant,Weedy,POST,502,obs75,B5,no,na,4928,2sqm,62,48,na,na,na,3,1,0,4,na,na,na,0.05,0.75,0,62,0,na,2,2
2021,Corn,Corn21,Cereal Rye,1-3 DAPPRE/POST,1-3 DAP,0,21,Roll plant,Weed free,PRE/POST,502,obs76,B5,yes,132.8,4928,2sqm,62,48,na,na,na,2,0,0,2,na,na,na,0,0,0,0,1,na,1,1
2021,Corn,Corn21,Cereal Rye,CTLPOST,CTL,CTL,na,na,Weedy,POST,503,obs77,B5,no,na,0,2sqm,62,48,na,na,na,62,0,0,62,na,na,na,9.63,0,0,62,0,na,2,2
2021,Corn,Corn21,Cereal Rye,CTLPRE/POST,CTL,CTL,na,na,Weed free,PRE/POST,503,obs78,B5,yes,139.2,0,2sqm,62,48,na,na,na,0,1,0,1,na,na,na,0,0,0,0,1,na,1,1
2021,Corn,Corn21,Cereal Rye,3-7 DPPPOST,3-7 DPP,-7,14,3-7 d pre-plant,Weedy,POST,504,obs79,B5,no,na,2652,2sqm,62,48,na,na,na,9,17,0,26,na,na,na,0.33,0.62,0,62,0,na,2,2
2021,Corn,Corn21,Cereal Rye,3-7 DPPPRE/POST,3-7 DPP,-7,14,3-7 d pre-plant,Weed free,PRE/POST,504,obs80,B5,yes,141.8,2652,2sqm,62,48,na,na,na,0,0,0,0,na,na,na,0,0,0,0,1,na,1,1
2022,Corn,Corn22,Cereal Rye,CTLPOST,CTL,CTL,na,na,Weedy,POST,101,obs81,B1,no,na,0,2sqm,60,68,4,1,11,41,3,60,60,0.05,0.12,7.38,3.29,0.052,0,41,3,1,91,27
2022,Corn,Corn22,Cereal Rye,CTLPRE/POST,CTL,CTL,na,na,Weed free,PRE/POST,101,obs82,B1,yes,112,0,2sqm,60,68,0,3,1,1,24,8,29,0,5.06,0.13,0.24,5.53,0,1,24,3,97,2
2022,Corn,Corn22,Cereal Rye,1-3 DAPPOST,1-3 DAP,0,21,Roll plant,Weedy,POST,102,obs83,B1,no,na,5334,2sqm,60,68,17,0,4,11,116,35,148,0.54,0,0.05,0.024,5.7,0,41,3,1,91,27
2022,Corn,Corn22,Cereal Rye,1-3 DAPPRE/POST,1-3 DAP,0,21,Roll plant,Weed free,PRE/POST,102,obs84,B1,yes,123.4,5334,2sqm,60,68,1,0,0,1,87,5,89,0.13,0,0,0.002,2.45,0,1,24,3,97,2
2022,Corn,Corn22,Cereal Rye,14-21 DPPPOST,14-21 DPP,-21,0,14-28 d pre-plant,Weedy,POST,103,obs85,B1,no,na,1292,2sqm,60,68,6,0,6,27,52,42,91,4.01,0,1.6,1.1,11.31,0,41,3,1,91,27
2022,Corn,Corn22,Cereal Rye,14-21 DPPPRE/POST,14-21 DPP,-21,0,14-28 d pre-plant,Weed free,PRE/POST,103,obs86,B1,yes,134.4,1292,2sqm,60,68,8,0,0,2,87,13,97,0.269,0,0,0.008,3.78,0,1,24,3,97,2
2022,Corn,Corn22,Cereal Rye,3-7 DPPPOST,3-7 DPP,-7,14,3-7 d pre-plant,Weedy,POST,104,obs87,B1,no,na,3163,2sqm,60,68,29,0,9,13,65,54,116,4.73,0,0.166,0.516,6.03,0,41,3,1,91,27
2022,Corn,Corn22,Cereal Rye,3-7 DPPPRE/POST,3-7 DPP,-7,14,3-7 d pre-plant,Weed free,PRE/POST,104,obs88,B1,yes,123.9,3163,2sqm,60,68,0,1,0,2,23,6,26,0,0.008,0,0.013,1.48,0,1,24,3,97,2
2022,Corn,Corn22,Cereal Rye,1-3 DAPPOST,1-3 DAP,0,21,Roll plant,Weedy,POST,201,obs89,B2,no,na,4741,2sqm,41,68,1,5,1,4,1,14,12,0.001,0.235,0.032,0.065,0.011,0,6,8,14,127,46
2022,Corn,Corn22,Cereal Rye,1-3 DAPPRE/POST,1-3 DAP,0,21,Roll plant,Weed free,PRE/POST,201,obs90,B2,yes,119.3,4741,2sqm,41,68,0,0,0,0,6,3,6,0,0,0,0,0.121,0,14,29,0,10,2
2022,Corn,Corn22,Cereal Rye,3-7 DPPPOST,3-7 DPP,-7,14,3-7 d pre-plant,Weedy,POST,202,obs91,B2,no,na,2695,2sqm,41,68,4,0,1,5,22,13,32,0.313,0,0.21,0.078,5.8,0,6,8,14,127,46
2022,Corn,Corn22,Cereal Rye,3-7 DPPPRE/POST,3-7 DPP,-7,14,3-7 d pre-plant,Weed free,PRE/POST,202,obs92,B2,yes,133.9,2695,2sqm,41,68,0,0,0,0,6,3,6,0,0,0,0,0.77,0,14,29,0,10,2
2022,Corn,Corn22,Cereal Rye,CTLPOST,CTL,CTL,na,na,Weedy,POST,203,obs93,B2,no,na,0,2sqm,41,68,2,14,11,6,8,36,41,0.066,3.71,6.51,1.54,2.57,0,6,8,14,127,46
2022,Corn,Corn22,Cereal Rye,CTLPRE/POST,CTL,CTL,na,na,Weed free,PRE/POST,203,obs94,B2,yes,139.9,0,2sqm,41,68,0,0,0,14,29,17,43,0,0,0,1.04,9.01,0,14,29,0,10,2
2022,Corn,Corn22,Cereal Rye,14-21 DPPPOST,14-21 DPP,-21,0,14-28 d pre-plant,Weedy,POST,204,obs95,B2,no,na,1090,2sqm,41,68,1,3,7,46,70,60,127,0.073,0.76,4.03,2.7,14.87,0,6,8,14,127,46
2022,Corn,Corn22,Cereal Rye,14-21 DPPPRE/POST,14-21 DPP,-21,0,14-28 d pre-plant,Weed free,PRE/POST,204,obs96,B2,yes,131,1090,2sqm,41,68,0,0,0,2,8,5,10,0,0,0,0,1.24,0,14,29,0,10,2
2022,Corn,Corn22,Cereal Rye,3-7 DPPPOST,3-7 DPP,-7,14,3-7 d pre-plant,Weedy,POST,301,obs97,B3,no,na,2500,2sqm,72,68,2,3,0,14,0,22,19,0.484,1.187,0,0.672,0,0,22,34,3,66,25
2022,Corn,Corn22,Cereal Rye,3-7 DPPPRE/POST,3-7 DPP,-7,14,3-7 d pre-plant,Weed free,PRE/POST,301,obs98,B3,yes,134.2,2500,2sqm,72,68,0,0,0,2,1,5,3,0,0,0,0.017,0.07,0,0,17,0,25,0
2022,Corn,Corn22,Cereal Rye,14-21 DPPPOST,14-21 DPP,-21,0,14-28 d pre-plant,Weedy,POST,302,obs99,B3,no,na,920,2sqm,72,68,8,7,1,25,25,44,66,1.13,0.694,0.068,1.28,11.44,0,22,34,3,66,25
2022,Corn,Corn22,Cereal Rye,14-21 DPPPRE/POST,14-21 DPP,-21,0,14-28 d pre-plant,Weed free,PRE/POST,302,obs100,B3,yes,124.1,920,2sqm,72,68,1,0,0,0,24,4,25,0.015,0,0,0,10.98,0,0,17,0,25,0
2022,Corn,Corn22,Cereal Rye,1-3 DAPPOST,1-3 DAP,0,21,Roll plant,Weedy,POST,303,obs101,B3,no,na,5456,2sqm,72,68,1,4,0,3,25,11,33,0,0.11,0,0.24,2.63,0,22,34,3,66,25
2022,Corn,Corn22,Cereal Rye,1-3 DAPPRE/POST,1-3 DAP,0,21,Roll plant,Weed free,PRE/POST,303,obs102,B3,yes,115.6,5456,2sqm,72,68,0,0,0,0,12,3,12,0,0,0,0,0.34,0,0,17,0,25,0
2022,Corn,Corn22,Cereal Rye,CTLPOST,CTL,CTL,na,na,Weedy,POST,304,obs103,B3,no,na,0,2sqm,72,68,2,3,11,22,34,41,72,0.179,0.41,8.39,1.59,12.19,0,22,34,3,66,25
2022,Corn,Corn22,Cereal Rye,CTLPRE/POST,CTL,CTL,na,na,Weed free,PRE/POST,304,obs104,B3,yes,80.8,0,2sqm,72,68,0,0,0,0,17,3,17,0,0,0,0,3.12,0,0,17,0,25,0
2022,Corn,Corn22,Cereal Rye,CTLPOST,CTL,CTL,na,na,Weedy,POST,401,obs105,B4,no,na,0,2sqm,74,68,0,6,41,10,17,60,74,0,0.204,22.08,1.37,1.84,0,10,17,6,56,23
2022,Corn,Corn22,Cereal Rye,CTLPRE/POST,CTL,CTL,na,na,Weed free,PRE/POST,401,obs106,B4,yes,139,0,2sqm,74,68,0,2,1,6,30,12,39,0,2.43,0.062,2.41,2.87,0,6,30,2,41,1
2022,Corn,Corn22,Cereal Rye,1-3 DAPPOST,1-3 DAP,0,21,Roll plant,Weedy,POST,402,obs107,B4,no,na,6285,2sqm,74,68,1,6,3,1,36,14,47,0.027,0.054,0.159,0.072,1.2,0.086,10,17,6,56,23
2022,Corn,Corn22,Cereal Rye,1-3 DAPPRE/POST,1-3 DAP,0,21,Roll plant,Weed free,PRE/POST,402,obs108,B4,yes,138.8,6285,2sqm,74,68,1,1,0,0,16,5,18,0.006,0.002,0,0,0.6,0,6,30,2,41,1
2022,Corn,Corn22,Cereal Rye,14-21 DPPPOST,14-21 DPP,-21,0,14-28 d pre-plant,Weedy,POST,403,obs109,B4,no,na,1368,2sqm,74,68,11,4,3,23,15,44,56,4.19,0.72,1.99,3.75,3.09,0,10,17,6,56,23
2022,Corn,Corn22,Cereal Rye,14-21 DPPPRE/POST,14-21 DPP,-21,0,14-28 d pre-plant,Weed free,PRE/POST,403,obs110,B4,yes,na,1368,2sqm,74,68,0,0,0,1,40,4,41,0,0,0,0.004,2.72,0,6,30,2,41,1
2022,Corn,Corn22,Cereal Rye,3-7 DPPPOST,3-7 DPP,-7,14,3-7 d pre-plant,Weedy,POST,404,obs111,B4,no,na,2748,2sqm,74,68,2,0,13,7,40,25,62,0.132,0,0.95,0.144,4.4,0,10,17,6,56,23
2022,Corn,Corn22,Cereal Rye,3-7 DPPPRE/POST,3-7 DPP,-7,14,3-7 d pre-plant,Weed free,PRE/POST,404,obs112,B4,yes,na,2748,2sqm,74,68,1,0,0,0,17,4,18,0.01,0,0,0,2.46,0,6,30,2,41,1
2022,Corn,Corn22,Cereal Rye,14-21 DPPPOST,14-21 DPP,-21,0,14-28 d pre-plant,Weedy,POST,501,obs113,B5,no,na,1158,2sqm,92,68,12,64,7,4,10,90,97,1.55,8.6,5.74,1,4.21,0,25,36,20,97,4
2022,Corn,Corn22,Cereal Rye,14-21 DPPPRE/POST,14-21 DPP,-21,0,14-28 d pre-plant,Weed free,PRE/POST,501,obs114,B5,yes,136.5,1158,2sqm,92,68,2,3,0,0,3,8,8,0.005,0.038,0,0,0.202,0,0,14,0,8,0
2022,Corn,Corn22,Cereal Rye,1-3 DAPPOST,1-3 DAP,0,21,Roll plant,Weedy,POST,502,obs115,B5,no,na,5638,2sqm,92,68,1,3,1,4,38,12,47,0.081,0.034,0.016,0.054,1.69,0.64,25,36,20,97,4
2022,Corn,Corn22,Cereal Rye,1-3 DAPPRE/POST,1-3 DAP,0,21,Roll plant,Weed free,PRE/POST,502,obs116,B5,yes,119.3,5638,2sqm,92,68,0,1,0,0,9,4,10,0,0.002,0,0,0.15,0,0,14,0,8,0
2022,Corn,Corn22,Cereal Rye,CTLPOST,CTL,CTL,na,na,Weedy,POST,503,obs117,B5,no,na,0,2sqm,92,68,5,20,6,25,36,59,92,1.12,7.02,16.61,2.79,7.28,0,25,36,20,97,4
2022,Corn,Corn22,Cereal Rye,CTLPRE/POST,CTL,CTL,na,na,Weed free,PRE/POST,503,obs118,B5,yes,91.8,0,2sqm,92,68,0,0,0,0,14,3,14,0,0,0,0,2.8,0,0,14,0,8,0
2022,Corn,Corn22,Cereal Rye,3-7 DPPPOST,3-7 DPP,-7,14,3-7 d pre-plant,Weedy,POST,504,obs119,B5,no,na,2678,2sqm,92,68,9,10,5,4,23,31,51,1.5,1.12,1.39,0.063,4.96,0,25,36,20,97,4
2022,Corn,Corn22,Cereal Rye,3-7 DPPPRE/POST,3-7 DPP,-7,14,3-7 d pre-plant,Weed free,PRE/POST,504,obs120,B5,yes,na,2678,2sqm,92,68,1,0,0,0,15,4,16,0.028,0,0,0,1.23,0,0,14,0,8,0